en,fr,predicted
the cornea surrounds and protects the eye.,la cornée enveloppe et protège l’œil.,la cornée entoure et protège l'œil.
microwaves are of immense interest to astronomers.,les micro-ondes sont très étudiées en astronomie.,Les micro-ondes sont d'un immense intérêt pour les astronomes.
the result is a photographic image.,le résultat est alors une image.,Le résultat est une image photographique.
let’s take a look at the case of temperature.,prenons le cas de la température.,Nous allons jeter un coup d'œil à la température.
it was the first true photometer.,c’est le premier « vrai » photomètre.,C'était le premier photomètre réel.
"in all, 2,363 infrared sources were detected.","en tout, 2363 sources infrarouges sont détectées.","Au total, 2 363 sources infrarouges ont été détectées."
it was the first photograph of our sun’s spectrum.,c’est la première photographie du spectre solaire.,C'était la première photographie de notre spectre solaire.
"the answer was not long in coming, however.",la réponse ne tardera pas.,La réponse ne tarda pas à arriver.
this is destructive interference.,on parle alors d’interférence destructive.,C'est une interférence destructive.
the first tests were performed in 1983 and 1984.,les premiers tests sont réalisés en 1983 et 1984.,Les premiers essais ont été effectués en 1983 et 1984.
what would we do without it?,que ferions-nous sans elle ?,- On ferait quoi sans elle ?
so what exactly is light?,mais qu'est-ce donc que la lumière ?,"Alors, qu'est-ce que la lumière exactement ?"
text of this activity,texte de l'activité,texte de cette activité
gamma rays the most energetic form of light.,rayons gamma lumière la plus énergétique qui soit.,Les rayons gamma sont la forme la plus énergétique de lumière.
the sun under gamma rays,le soleil vu sous les rayons gamma,le soleil sous les rayons gamma
the sun under x-rays,le soleil vu sous les rayons x,le soleil sous les rayons X
the sun under ultraviolet,le soleil vu sous les rayons ultraviolet,le soleil sous ultraviolet
the sun visible,le soleil vu dans la zone visible,le soleil visible
the sun under infrared,le soleil vu sous les rayons infrarouges,le soleil sous infrarouge
the sun under radio waves,le soleil vu dans la zone des fréquences radio,le soleil sous les ondes radio
emission spectra of hydrogen.,spectre d'émission de l'hydrogène.,spectre d'émission de l'hydrogène.
emission spectra of iron.,spectre d'émission du fer.,spectre d'émission du fer.
boy what is a light year?,bulle garçon qu’est-ce qu’une année-lumière?,- Quel est l'année-lumière ?
girl it’s like travelling through time.,bulle fille comme si nous voyagions dans le temps.,C'est comme voyager dans le temps.
now i understand!,je comprend!,Je comprends !
wildlife and plants are also affected.,la faune et la flore sont également touchées.,Les espèces sauvages et les plantes sont également touchées.
your turn to get involved!,"alors, à vous de jouer!",C'est à vous de vous impliquer !
click on:,vous pouvez cliquer sur :,Cliquez sur:
"the young man replied, ""i am morning star.",« je suis étoile du matin.,"Le jeune homme répondit: ""Je suis l'étoile du matin."
this one is from the iroquois of ontario.,la première provient des iroquois de l'ontario :,Celui-ci vient des iroquois de l'Ontario.
"""don’t be stupid,"" another replied.","« ne soit pas stupide », dit un autre.","""Ne sois pas stupide"", répondit un autre."
"""rocks can be broken.""",« les rochers peuvent se briser.,"""les rochers peuvent être brisés""."
"""what about trees?",»,"""et les arbres ?"
"""why not take on the form of night?",« pourquoi ne pas prendre la forme de la nuit?,"""pourquoi ne pas prendre la forme de la nuit?"
"""they live in the sky and never die.""",« elles habitent le ciel et ne meurent jamais.,"""ils vivent dans le ciel et ne meurent jamais""."
it occupied the centre of their universe.,elle occupe aussi le centre de l'univers.,Il occupait le centre de leur univers.
four men were hunting a bear.,quatre hommes poursuivaient un ours.,Quatre hommes chassaient un ours.
the moon-man heard him and descended to earth.,l'homme-lune l'entendit et descendit sur terre.,L'homme de la lune l'a entendu et est descendu sur terre.
"it evolved over time, and thus it has a history.","en d’autres mots, il a une histoire.","Il a évolué au fil du temps, et donc il a une histoire."
it is dangerous to view the sun directly.,il est dangereux d'observer directement le soleil.,Il est dangereux de regarder le soleil directement.
bring a notebook and pencil to take notes.,la musique peut être une option agréable.,apporter un carnet et un crayon pour prendre des notes.
how does a star finder work?,comment fonctionne le cherche-étoiles?,Comment fonctionne une trouvaille d'étoiles ?
the way a star finder works is simple.,le fonctionnement du cherche-étoiles est simple.,Le fonctionnement d'un chercheur d'étoiles est simple.
astronomers,astronomes,astronomes
astronomers glossary,astronomes glossaire,glossaire des astronomes
synonym: shooting star.,synonyme: étoile filante.,synonyme: étoile qui se déclenche.
◦ radiation:,◦ radiation :,◦ rayonnement:
it is small and dim.,◦ tache solaire :,Il est petit et épais.
astronomers,verbatim,astronomes
i know what you’re thinking:,je sais... vous allez dire « y a rien là ».,Je sais ce que vous pensez:
"""sound  s boring!""",mais écoutez bien...,""" Ça sonne ennuyeux ! """
"in fact, i was beginning to think we were lost.",en fait... je crois que nous étions perdus.,"En fait, je commençais à penser que nous étions perdus."
bubble are we almost there?,bulle quand est-ce qu’on arrive?,"Bubble, on est presque là ?"
bubble i’m hungry.,bulle j’ai faim.,Je suis affamé.
