en,fr,predicted
astronomes jean-rené roy is born.,astronomes naissance de jean-rené roy.,astronomes jean-rené roy est né.
astronomes damien lemay is born.,astronomes naissance de damien lemay.,astronomes damien lemay est né.
astronomes paul boltwood is born.,astronomes naissance de paul boltwood.,astronomes paul boltwood est né.
astronomes peter gordon martin is born.,astronomes naissance de peter gordon martin.,astronomes peter gordon martin est né.
astronomes gilles fontaine is born.,astronomes naissance de gilles fontaine.,astronomes gilles fontaine est né.
astronomes david howard levy is born.,astronomes naissance de david howard levy.,astronomes david howard levy est né.
astronomes john richard bond is born.,astronomes naissance de john richard bond.,astronomes john richard bond est né.
astronomes scott duncan tremaine is born.,astronomes naissance de scott duncan tremaine.,astronomes scott duncan tremaine est né.
replace by: 1953:,remplacer par: 1953:,remplacer par: 1953 :
astronomes jaymie mark matthews is born.,astronomes naissance de jaymie mark matthews.,astronomes jaymie mark matthews est né.
in the future :,dans le futur :,à l'avenir :
they are: 1.,il s'agit des observatoires : 1.,ils sont : 1.
"kingston observatory in london, ontario: est.","de kingston, à london, en ontario, en 1856 2.","kingston observatory in london, ontario: est."
stars produce large amounts of neutrinos.,les étoiles en produisent de grandes quantités.,Les étoiles produisent de grandes quantités de neutrinos.
work began in 1990 and was completed in 1999.,les travaux débutent en 1990 et se terminent 1999.,Les travaux ont débuté en 1990 et ont été achevés en 1999.
all together the satellite weighs 250 kilograms.,"en tout, le satellite pèse 250 kilogrammes.",Toutes les deux appareils peuvent pèser 250 kilogrammes.
its predicted life expectancy is 5 to 10 years.,sa durée de vie devrait être de 5 à 10 ans.,s’attend à ce que l’espérance de vie prévue soit de 5 à 10 ans.
"the entire observatory will weigh 6,600 kilograms.",l'observatoire entier pèsera 6600 kilogrammes.,l’observatoire en entier pèsera 6 600 kilogrammes.
the next generation,la relève,la prochaine génération
he passed away in ottawa in 1916 at 62 years old.,"il meurt à ottawa en 1916, à l'âge de 62 ans.",il est décédé à ottawa en 1916 à 62 ans.
chant acted as president from 1904 to 1907.,chant en sera le président entre 1904 et 1907.,chant agit en tant que président de 1904 à 1907.
herzberg died in ottawa in 1999 at 94 years old.,"herzberg meut à ottawa en 1999, à l'âge de 94 ans.",herzberg est décédé à ottawa en 1999 à 94 ans.
asteroid 3316 was named in his honour.,l'astéroïde no 3316 porte son nom en son honneur.,l'astérode 3316 a été nommé en son honneur.
asteroid 2917 was named in her honour.,l'astéroïde no 2917 porte son nom en son honneur.,l'astérode 2917 a été nommé en honneur.
asteroid 4230 bears his name in his honour.,l'astéroïde no 4230 porte son nom en son honneur.,l'astérode 4230 porte son nom en son honneur.
other instruments were to follow.,d'autres appareils suivront par la suite.,d'autres instruments devaient suivre.
asteroid 4230 is named in his honour.,l'astéroïde no 4230 porte son nom en son honneur.,l'astérode 4230 est nommé en son honneur.
it was quite a triumph.,c'est un triomphe.,c'était un triomphe.
a photographic guide for the amateur in 1977.,a photographic guide for the amateur.,"en 1977, un guide photographique pour l'amateur."
he wrote two books with philip teece:,il rédige ensuite deux livres avec philip teece :,il écrit deux livres avec philip teece :
asteroid 3673 is named after him.,l'astéroïde no 3673 porte son nom en son honneur.,L'astérode 3673 est nommé après lui.
the first instruments the transit and the sextant,les premiers instruments le transit et le sextant,les premiers instruments le transit et le sextant
invisible light collectors seeing the invisible,les capteurs de lumière invisible voir l’invisible, l'intention des collecteurs de lumière invisibles
photographic plates memorizing light,les plaques photographiques mémoriser la lumière,plaques photographiques mémorisant la lumière
the cornea surrounds and protects the eye.,la cornée enveloppe et protège l’œil.,la cornée entoure et protège l'oeil.
microwaves are of immense interest to astronomers.,les micro-ondes sont très étudiées en astronomie.,Les micro-ondes sont d'un immense intérêt pour les astronomes.
the result is a photographic image.,le résultat est alors une image.,l’image photographique est donc obtenue.
let’s take a look at the case of temperature.,prenons le cas de la température.," l’heure actuelle, il n’y a pas de mesures à prendre pour éviter les émissions de chaleur."
it was the first true photometer.,c’est le premier « vrai » photomètre.,c'était le premier photomètre véritable.
"in all, 2,363 infrared sources were detected.","en tout, 2363 sources infrarouges sont détectées.","Dans l'ensemble, 2 363 sources infrarouges ont été détectées."
it was the first photograph of our sun’s spectrum.,c’est la première photographie du spectre solaire.,c’était la première photographie du spectre solaire.
"the answer was not long in coming, however.",la réponse ne tardera pas.,"Cependant, la réponse n'a pas été longue."
this is destructive interference.,on parle alors d’interférence destructive.,Cette ingérence est destructrice.
the first tests were performed in 1983 and 1984.,les premiers tests sont réalisés en 1983 et 1984.,Les premiers essais ont été effectués en 1983 et 1984.
what would we do without it?,que ferions-nous sans elle ?,Que ferons-nous sans cela?
so what exactly is light?,mais qu'est-ce donc que la lumière ?,Alors qu'est-ce exactement la lumière?
text of this activity,texte de l'activité,texte de cette activité
gamma rays the most energetic form of light.,rayons gamma lumière la plus énergétique qui soit.,gamma est la forme la plus énergique de la lumière.
the sun under gamma rays,le soleil vu sous les rayons gamma,le soleil sous les rayons gamma
the sun under x-rays,le soleil vu sous les rayons x,le soleil sous rayons X
the sun under ultraviolet,le soleil vu sous les rayons ultraviolet,le soleil sous ultraviolet
the sun visible,le soleil vu dans la zone visible,le soleil visible
the sun under infrared,le soleil vu sous les rayons infrarouges,le soleil sous infrarouge
the sun under radio waves,le soleil vu dans la zone des fréquences radio,le soleil sous les ondes radio
emission spectra of hydrogen.,spectre d'émission de l'hydrogène.,spectres d'émission de l'hydrogène.
emission spectra of iron.,spectre d'émission du fer.,spectres d'émission de fer.
boy what is a light year?,bulle garçon qu’est-ce qu’une année-lumière?,et il y a une année claire?
girl it’s like travelling through time.,bulle fille comme si nous voyagions dans le temps.,c’est comme voyager par le temps.
now i understand!,je comprend!,Maintenant j'ai compris!
wildlife and plants are also affected.,la faune et la flore sont également touchées.,La faune et les plantes sont également touchées.
your turn to get involved!,"alors, à vous de jouer!",Vous avez l'occasion de vous impliquer!
click on:,vous pouvez cliquer sur :,cliquez sur :
"the young man replied, ""i am morning star.",« je suis étoile du matin.,l'homme a répondu : « Je suis étoile du matin.
this one is from the iroquois of ontario.,la première provient des iroquois de l'ontario :,cette approche est tirée de l'iroquois de l'ontario.
"""don’t be stupid,"" another replied.","« ne soit pas stupide », dit un autre.","« Ne soyez pas stupide », a répondu un autre."
"""rocks can be broken.""",« les rochers peuvent se briser.,« Les roches peuvent être brisées ».
"""what about trees?",»,« Qu'en est-il des arbres?
"""why not take on the form of night?",« pourquoi ne pas prendre la forme de la nuit?,« pourquoi ne pas prendre la forme de la nuit?
"""they live in the sky and never die.""",« elles habitent le ciel et ne meurent jamais.,« Ils vivent dans le ciel et ne meurent jamais.
it occupied the centre of their universe.,elle occupe aussi le centre de l'univers.,elle occupait le centre de leur univers.
four men were hunting a bear.,quatre hommes poursuivaient un ours.,Quatre hommes chassent un ours.
the moon-man heard him and descended to earth.,l'homme-lune l'entendit et descendit sur terre.,l'homme de la lune l'a entendu et descenda à la terre.
"it evolved over time, and thus it has a history.","en d’autres mots, il a une histoire.",elle a évolué au fil du temps et a donc une histoire.
it is dangerous to view the sun directly.,il est dangereux d'observer directement le soleil.,Il est dangereux de voir le soleil directement.
bring a notebook and pencil to take notes.,la musique peut être une option agréable.,Vous pouvez emporter un carnet et un crayon pour prendre des notes.
how does a star finder work?,comment fonctionne le cherche-étoiles?,Comment fonctionne un chercheur d'étoiles?
the way a star finder works is simple.,le fonctionnement du cherche-étoiles est simple.,l'utilisation d'un chercheur d'étoiles est simple.
astronomers,astronomes,astronomes
astronomers glossary,astronomes glossaire,glossaire des astronomes
synonym: shooting star.,synonyme: étoile filante.,synonyme : étoile de tir.
◦ radiation:,◦ radiation :, rayonnement :
it is small and dim.,◦ tache solaire :,il est petit et dim.
astronomers,verbatim,astronomes
i know what you’re thinking:,je sais... vous allez dire « y a rien là ».,j’ai connaissance de ce que vous pensez :
"""sound  s boring!""",mais écoutez bien...,« Son est en nette! »
"in fact, i was beginning to think we were lost.",en fait... je crois que nous étions perdus.,"en fait, je commence à penser que nous avons été perdus."
bubble are we almost there?,bulle quand est-ce qu’on arrive?,bulle y a-t-il presque?
bubble i’m hungry.,bulle j’ai faim.,bubble j’ai faim.
